Loan Status,Current Loan Amount,Term,Credit Score,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Charged Off,10958,Long Term,682,9,Mortgage,53812,DebtConsolidation,995.52,15.3,NA,13,0,12336,21123,0,0
Charged Off,16447,Short Term,723,4,Rent,73425,Other,770.96,10.5,NA,7,0,9806,14592,0,0
Charged Off,28053,Long Term,674,3,Rent,120228,DebtConsolidation,1442.74,13,6,13,0,20466,30455,0,0
Charged Off,3947,Short Term,735,10,Mortgage,88812,HomeImprovements,1147.16,22.4,66,16,1,17324,21309,0,0
Charged Off,4880,Short Term,743,8,Mortgage,43916,DebtConsolidation,472.09,13.7,NA,10,0,15119,25581,0,0
Charged Off,17214,Short Term,717,9,Rent,39068,DebtConsolidation,319.38,11.1,NA,6,0,8469,13274,0,0
Charged Off,8844,Short Term,737,10,Mortgage,47563,DebtConsolidation,1121.7,22,14,8,0,3534,4559,0,0
Charged Off,5927,Short Term,718,5,Rent,20490,DebtConsolidation,589.08,14.8,NA,12,0,13206,28897,0,0
Charged Off,15621,Short Term,744,4,Rent,108369,DebtConsolidation,1164.97,15.8,38,15,0,13285,18351,0,0
Charged Off,11748,Short Term,735,2,Mortgage,63635,DebtConsolidation,662.86,16.9,NA,10,1,8501,11939,1,0
Charged Off,19230,Long Term,668,7,Rent,39316,DebtConsolidation,750.28,13,NA,11,0,19814,22775,0,0
Charged Off,24406,Long Term,713,1,Mortgage,90207,DebtConsolidation,1871.8,27.5,NA,9,0,33341,35281,0,0
Charged Off,17309,Long Term,651,10,Own Home,49018,DebtConsolidation,347.21,37.1,39,8,0,11035,16645,0,0
Charged Off,19124,Long Term,728,10,Mortgage,116499,DebtConsolidation,3621.16,20.6,10,15,0,275876,276152,0,0
Charged Off,9871,Long Term,697,10,Rent,39484,Other,1138.45,15.1,NA,10,0,10879,16789,0,0
Charged Off,11029,Short Term,695,4,Rent,34088,DebtConsolidation,542.58,9.6,NA,4,0,10573,11224,0,0
Charged Off,3125,Short Term,641,1,Rent,52736,DebtConsolidation,123.05,9,NA,3,0,1640,1659,0,0
Charged Off,11143,Long Term,661,2,Mortgage,110671,HomeImprovements,132.81,21.5,60,7,1,2739,6847,1,0
Charged Off,16000,Long Term,716,1,Mortgage,60000,DebtConsolidation,354,25.8,NA,22,1,9743,25912,1,0
Charged Off,4225,Short Term,672,2,Own Home,21988,DebtConsolidation,459.93,10.6,50,6,1,1279,3143,0,0
Charged Off,12388,Long Term,726,8,Mortgage,39640,DebtConsolidation,558.26,14.8,NA,6,0,12666,14263,0,0
Charged Off,15260,Short Term,729,3,Rent,63480,DebtConsolidation,555.45,8,NA,11,0,18822,37345,0,0
Charged Off,14780,Long Term,724,10,Rent,73026,DebtConsolidation,1211.02,22,NA,8,0,13141,13603,0,0
Charged Off,7887,Short Term,717,6,Rent,24648,DebtConsolidation,330.69,9.9,NA,8,0,11021,11826,0,0
Charged Off,35018,Short Term,716,10,Mortgage,100050,HomeImprovements,1525.76,12,NA,12,0,49924,69052,0,0
Charged Off,6876,Short Term,736,1,Rent,17878,DebtConsolidation,263.7,25.3,6,7,1,7192,10319,1,0
Charged Off,17865,Long Term,662,10,Mortgage,75915,DebtConsolidation,613.65,23.6,NA,15,1,7161,17214,1,0
Charged Off,5888,Short Term,735,1,Rent,58878,DebtConsolidation,1010.74,14.9,12,14,6,5347,15499,1,5
Charged Off,24585,Short Term,748,6,Mortgage,132759,DebtConsolidation,571.97,13.4,NA,7,0,6007,47296,0,0
Charged Off,31561,Short Term,683,3,Rent,87683,DebtConsolidation,1826.73,10.3,NA,9,0,10732,15354,0,0
Charged Off,25360,Long Term,737,10,Mortgage,83759,DebtConsolidation,1214.51,20.3,NA,14,0,25752,48405,0,0
Charged Off,23604,Long Term,708,3,Rent,80647,Other,1102.18,12,1,14,0,1647,20853,0,0
Charged Off,10167,Short Term,738,3,Own Home,42701,DebtConsolidation,761.51,25.8,NA,7,0,11283,15759,0,0
Charged Off,28594,Long Term,632,8,Mortgage,65215,DebtConsolidation,733.66,13.3,31,6,0,6611,12042,0,0
Charged Off,5501,Short Term,749,0.5,Mortgage,45009,BusinessLoan,186.04,14.2,35,6,0,6959,11599,0,0
Charged Off,2469,Short Term,714,3,Rent,38516,DebtConsolidation,735.66,9.6,NA,9,0,3646,4148,0,0
Charged Off,4407,Short Term,734,3,Mortgage,36058,Other,157.15,13.1,28,6,0,2517,6308,0,0
Charged Off,11687,Long Term,671,0.5,Mortgage,46149,DebtConsolidation,1038.36,6.8,NA,7,0,3193,4147,0,0
Charged Off,16495,Short Term,718,10,Rent,44118,DebtConsolidation,1352.95,12.6,NA,7,1,17605,21654,1,0
Charged Off,10022,Short Term,704,10,Rent,70154,DebtConsolidation,684,16.4,43,7,0,5168,11114,0,0
Charged Off,5103,Short Term,742,0.5,Own Home,27556,DebtConsolidation,464.32,20.4,5,6,0,1023,3678,0,0
Charged Off,11887,Short Term,723,5,Mortgage,59436,DebtConsolidation,1079.75,11.9,NA,15,0,13781,15061,0,0
Charged Off,14696,Short Term,743,7,Mortgage,49965,DebtConsolidation,828.58,6.2,NA,5,0,7634,10084,0,0
Charged Off,20616,Short Term,750,1,Mortgage,83445,DebtConsolidation,559.78,13,NA,11,0,4418,51368,0,0
Charged Off,5867,Short Term,688,4,Rent,89625,BusinessLoan,62.74,20.2,NA,2,0,0,0,0,0
Charged Off,17833,Short Term,699,7,Rent,57542,DebtConsolidation,891.9,12.5,NA,10,0,17310,27304,0,0
Charged Off,11666,Short Term,659,10,Rent,179395,Other,1793.95,11.6,27,6,0,287,3935,0,0
Charged Off,30380,Long Term,611,7,Mortgage,139160,DebtConsolidation,1994.62,13.9,NA,20,0,28516,29891,0,0
Charged Off,17890,Short Term,630,9,Mortgage,94421,DebtConsolidation,1106.29,18,27,11,0,15382,15712,0,0
Charged Off,19399,Short Term,704,0.5,Own Home,43851,DebtConsolidation,1052.42,18,22,13,0,3400,5591,0,0
Charged Off,14873,Long Term,672,3,Rent,44594,DebtConsolidation,776.68,14.3,35,10,0,12496,21886,0,0
Charged Off,14702,Short Term,738,1,Mortgage,84289,DebtConsolidation,1130.87,22.2,30,8,0,14380,21559,0,0
Charged Off,21506,Long Term,716,4,Mortgage,61446,DebtConsolidation,1126.51,14.9,27,20,0,21076,51405,0,0
Charged Off,20122,Long Term,652,10,Rent,55336,DebtConsolidation,590.25,14.5,NA,5,0,18393,22027,0,0
Charged Off,16986,Short Term,645,10,Rent,66539,Moving,1852.01,14.7,24,16,0,12834,22959,0,0
Charged Off,18557,Long Term,740,10,Mortgage,91829,CarPurchase,133.92,18.3,NA,11,0,7238,29305,0,0
Charged Off,11714,Short Term,746,10,Mortgage,59548,DebtConsolidation,1032.17,17.9,NA,12,0,22026,38779,0,0
Charged Off,9860,Long Term,610,1,Mortgage,41905,Other,890.49,13.9,59,15,0,6750,14706,0,0
Charged Off,34986,Long Term,706,10,Rent,83966,DebtConsolidation,1378.45,16.8,NA,11,0,11266,24599,0,0
Charged Off,10156,Short Term,726,2,Rent,68045,DebtConsolidation,191.1,15,NA,5,0,6070,6806,0,0
Charged Off,16599,Long Term,678,9,Rent,51903,DebtConsolidation,973.18,15.6,78,18,1,17345,28204,1,0
Charged Off,12109,Short Term,702,4,Rent,50455,DebtConsolidation,908.19,22.6,NA,10,0,7544,8272,0,0
Charged Off,28672,Short Term,709,1,Own Home,81920,DebtConsolidation,2041.17,18.3,16,9,0,33437,40140,0,0
Charged Off,20958,Short Term,732,10,Rent,46934,DebtConsolidation,813.52,18.8,NA,11,0,23533,24136,0,0
Charged Off,4000,Long Term,684,8,Rent,40996,DebtConsolidation,515.87,11.6,NA,5,0,4593,7098,0,0
Charged Off,29858,Long Term,660,2,Rent,68007,DebtConsolidation,1547.16,18.6,7,11,0,29667,36535,0,0
Charged Off,8239,Short Term,622,7,Mortgage,31426,Other,387.59,13.8,8,10,0,593,2148,0,0
Charged Off,4963,Short Term,747,5,Rent,40498,DebtConsolidation,241.3,17,80,8,0,2396,14263,0,0
Charged Off,34195,Long Term,680,10,Mortgage,81580,DebtConsolidation,1706.37,20.8,NA,13,0,34301,52691,0,0
Charged Off,27480,Long Term,717,3,Rent,62226,DebtConsolidation,1441.56,23,NA,19,0,41773,71529,0,0
Charged Off,27726,Long Term,692,10,Own Home,71294,DebtConsolidation,1823.95,22,25,17,0,13095,35393,0,0
Charged Off,7069,Short Term,700,4,Rent,48842,DebtConsolidation,561.68,9,15,8,0,4752,9000,0,0
Charged Off,11766,Short Term,738,10,Mortgage,63733,DebtConsolidation,881.64,19.4,27,7,0,9506,12950,0,0
Charged Off,7097,Short Term,705,10,Mortgage,68999,DebtConsolidation,620.99,16.3,NA,7,0,7397,7586,0,0
Charged Off,6442,Short Term,739,0.5,Rent,55517,DebtConsolidation,127.69,32.5,28,6,0,5895,11697,0,0
Charged Off,15035,Long Term,677,10,Mortgage,39090,DebtConsolidation,801.34,22.7,76,14,0,59602,74877,0,0
Charged Off,22385,Long Term,681,10,Own Home,56092,DebtConsolidation,1219.99,12.3,NA,10,0,26574,36653,0,0
Charged Off,25610,Long Term,712,10,Mortgage,112684,DebtConsolidation,1709.04,16.7,13,12,0,21990,25839,0,0
Charged Off,15303,Long Term,675,8,Mortgage,56111,DebtConsolidation,855.69,25.7,1,12,0,4528,7546,0,0
Charged Off,12127,Short Term,736,10,Own Home,71753,DebtConsolidation,980.62,19,NA,5,2,14426,15766,0,2
Charged Off,20307,Short Term,688,3,Mortgage,67857,DebtConsolidation,1170.54,16.1,NA,14,0,21942,27951,0,0
Charged Off,3289,Short Term,691,1,Rent,74198,DebtConsolidation,312.87,18.7,38,3,0,5293,6624,0,0
Charged Off,14646,Short Term,708,1,Rent,73742,DebtConsolidation,1929.59,24.5,NA,14,0,4689,6865,0,0
Charged Off,16577,Long Term,693,3,Mortgage,98670,DebtConsolidation,2088.52,20.2,1,12,0,17130,31490,0,0
Charged Off,6121,Short Term,742,10,Mortgage,76508,DebtConsolidation,937.22,16.8,NA,8,0,4287,10208,0,0
Charged Off,10663,Short Term,734,10,Mortgage,31741,DebtConsolidation,872.87,25.6,9,17,0,18816,30155,0,0
Charged Off,10224,Short Term,716,7,Rent,73613,DebtConsolidation,944.7,32.1,13,10,0,21448,32695,0,0
Charged Off,15083,Short Term,736,1,Rent,60330,DebtConsolidation,1231.74,9.1,18,11,0,13263,31206,0,0
Charged Off,17304,Short Term,657,5,Own Home,46823,DebtConsolidation,1069.13,13,NA,12,0,16000,16394,0,0
Charged Off,12724,Short Term,731,4,Rent,32573,DebtConsolidation,860.46,10.6,NA,10,0,8344,9261,0,0
Charged Off,10222,Long Term,687,10,Mortgage,49577,DebtConsolidation,1371.62,12.4,NA,23,1,14489,24725,1,0
Charged Off,9095,Short Term,716,5,Mortgage,30234,DebtConsolidation,481.22,14,2,17,1,7929,9778,0,1
Charged Off,34622,Short Term,700,4,Mortgage,118704,DebtConsolidation,1928.94,12.2,11,19,0,8169,23609,0,0
Charged Off,2477,Short Term,722,1,Rent,61436,DebtConsolidation,988.1,20.4,70,31,0,7115,20682,NA,0
Charged Off,5906,Short Term,744,6,Rent,147660,DebtConsolidation,1624.26,19.4,37,9,0,38965,45203,0,0
Charged Off,15293,Short Term,699,3,Rent,53014,Other,804.05,13.6,29,11,0,14913,18054,0,0
Charged Off,15147,Short Term,737,6,Rent,171666,DebtConsolidation,1473.47,14.5,NA,6,3,13764,19089,0,3
Charged Off,25583,Long Term,674,3,Mortgage,122796,DebtConsolidation,2670.81,16.4,41,23,0,37383,52876,0,0
Charged Off,7647,Short Term,731,0.5,Mortgage,24470,DebtConsolidation,362.98,31.8,6,7,0,11891,13778,0,0
Charged Off,27316,Long Term,648,2,Mortgage,71949,DebtConsolidation,1121.2,19,37,20,0,27384,28887,0,0
Charged Off,9766,Short Term,705,7,Rent,48834,DebtConsolidation,754.08,16.9,44,6,0,6204,9649,0,0
Charged Off,4812,Short Term,738,10,Mortgage,70175,DebtConsolidation,771.93,21.1,5,11,0,28168,38272,0,0
Charged Off,5938,Short Term,746,0.5,Rent,29688,DebtConsolidation,286.98,10.7,NA,5,0,10466,19098,0,0
Charged Off,3578,Short Term,714,10,Mortgage,98131,MedicalBills,1668.23,18.1,19,7,0,13838,18304,0,0
Charged Off,20928,Long Term,716,1,Mortgage,83513,DebtConsolidation,737.7,29.8,76,7,0,21334,24663,0,0
Charged Off,13623,Short Term,739,9,Rent,33611,DebtConsolidation,761.84,15.5,NA,9,0,12410,16117,0,0
Charged Off,8232,Short Term,746,8,Mortgage,50960,HomeImprovements,488.36,13.7,30,7,0,4735,19172,0,0
Charged Off,18675,Short Term,707,10,Rent,58974,DebtConsolidation,894.44,13.4,NA,16,0,16635,29704,0,0
Charged Off,6408,Long Term,629,0.5,Rent,31237,HomePurchase,246.26,19.8,NA,7,0,10842,20341,0,0
Charged Off,7966,Short Term,714,1,Rent,114506,DebtConsolidation,1278.65,18.7,NA,11,0,2872,2966,0,0
Charged Off,28908,Long Term,666,10,Rent,71525,DebtConsolidation,1205.79,18.2,NA,16,0,21698,24435,0,0
Charged Off,9968,Short Term,738,2,Rent,30054,DebtConsolidation,470.85,6.5,NA,6,0,4940,8821,0,0
Charged Off,14924,Short Term,698,10,Rent,85810,DebtConsolidation,1237.1,31.4,42,20,0,14413,32100,0,0
Charged Off,20094,Short Term,742,10,Own Home,45212,DebtConsolidation,847.72,23.7,NA,13,0,24463,43841,0,0
Charged Off,9152,Short Term,749,10,Mortgage,86601,DebtConsolidation,1248.5,13.9,NA,11,0,8584,20151,0,0
Charged Off,8882,Short Term,626,1,Rent,19904,MedicalBills,24.88,11,5,4,0,148,12357,0,0
Charged Off,13212,Short Term,735,10,Rent,49187,DebtConsolidation,1082.1,19.7,30,11,0,4019,5061,0,0
Charged Off,13505,Long Term,720,5,Mortgage,42699,DebtConsolidation,1188.45,14.3,2,11,1,4956,29856,1,0
Charged Off,15753,Long Term,736,10,Mortgage,35044,DebtConsolidation,814.78,22.3,NA,11,0,30401,49594,0,0
Charged Off,35844,Long Term,639,2,Mortgage,79470,DebtConsolidation,1417.22,19.9,1,10,0,1729,5436,0,0
Charged Off,10250,Short Term,731,4,Own Home,56375,DebtConsolidation,415.3,35.4,NA,10,1,4876,16585,1,0
Charged Off,2024,Short Term,721,1,Rent,30357,DebtConsolidation,465.47,8.6,NA,7,0,3761,6777,0,0
Charged Off,21185,Long Term,639,1,Mortgage,59052,HomePurchase,624.97,15.2,79,12,0,5864,20361,0,0
Charged Off,15173,Short Term,708,10,Rent,51587,HomeImprovements,662.03,16.7,7,10,0,21192,45090,0,0
Charged Off,15028,Short Term,745,10,Mortgage,118644,DebtConsolidation,1384.18,15.3,16,8,1,9099,0,0,0
Charged Off,10201,Short Term,733,7,Own Home,36724,BusinessLoan,175.36,12.5,65,5,0,6100,6322,0,0
Charged Off,4201,Long Term,699,4,Rent,65013,CarPurchase,250.3,12.3,40,6,0,790,4203,0,0
Charged Off,19962,Short Term,692,1,Mortgage,69612,DebtConsolidation,1067.38,19,NA,12,1,15223,30942,0,1
Charged Off,34612,Long Term,671,6,Mortgage,82575,DebtConsolidation,1699.67,23.2,NA,11,0,51084,57721,0,0
Charged Off,6363,Short Term,708,1,Mortgage,24855,DebtConsolidation,559.24,9.9,16,11,0,5186,14325,0,0
Charged Off,19736,Long Term,666,1,Mortgage,88812,DebtConsolidation,1169.36,15,NA,13,0,5506,17936,0,0
Charged Off,2375,Short Term,716,1,Rent,32650,DebtConsolidation,375.48,20.4,NA,13,1,12346,20041,1,0
Charged Off,14675,Short Term,750,10,Own Home,104874,DebtConsolidation,1354.62,21.9,NA,18,0,21588,91475,0,0
Charged Off,10446,Short Term,723,10,Rent,42678,DebtConsolidation,650.83,20,22,9,1,6850,10720,1,0
Charged Off,12216,Short Term,729,10,Rent,91620,DebtConsolidation,1710.24,13.5,80,15,1,16003,40824,0,1
Charged Off,20767,Long Term,698,10,Mortgage,96912,HomeImprovements,1017.58,22.7,12,10,3,9107,18287,0,2
Charged Off,11247,Short Term,725,10,Rent,32134,DebtConsolidation,326.7,11.1,52,9,0,5690,10537,0,0
Charged Off,32122,Long Term,683,10,Mortgage,160106,DebtConsolidation,2975.3,11.4,NA,9,0,16091,20870,0,0
Charged Off,28354,Long Term,664,7,Mortgage,70214,DebtConsolidation,1661.74,19.6,NA,14,0,61076,65044,0,0
Charged Off,19894,Long Term,677,10,Rent,80584,DebtConsolidation,778.98,12.4,NA,14,0,5954,14210,0,0
Charged Off,15763,Short Term,741,5,Mortgage,99998,DebtConsolidation,1266.64,15.8,17,14,0,34992,55367,0,0
Charged Off,9118,Short Term,743,5,Rent,49960,DebtConsolidation,1157.4,30,10,15,0,22020,35981,0,0
Charged Off,12145,Short Term,750,10,Mortgage,53641,DebtConsolidation,1016.95,16.6,NA,15,0,11884,30948,0,0
Charged Off,11731,Long Term,725,8,Rent,69410,DebtConsolidation,642.04,14.7,NA,6,1,9753,10266,1,0
Charged Off,9603,Short Term,705,3,Rent,55891,DebtConsolidation,1001.38,27.2,NA,8,1,5532,6601,1,0
Charged Off,5608,Short Term,714,1,Rent,24517,DebtConsolidation,531.2,5.9,NA,5,0,11490,13827,0,0
Charged Off,13590,Long Term,614,1,Rent,62415,DebtConsolidation,1170.29,13.5,NA,8,0,16865,17315,0,0
Charged Off,12043,Short Term,726,10,Mortgage,65234,DebtConsolidation,1043.74,22.5,NA,9,1,9748,16246,1,0
Charged Off,11851,Short Term,743,5,Mortgage,54318,DebtConsolidation,742.35,12.9,NA,9,0,13679,17185,0,0
Charged Off,8190,Short Term,729,9,Rent,33782,DebtConsolidation,501.1,11.4,NA,11,0,11690,15565,0,0
Charged Off,14893,Long Term,683,10,Mortgage,54109,DebtConsolidation,1244.52,14.5,NA,10,0,34140,43435,0,0
Charged Off,9790,Short Term,708,2,Own Home,34265,DebtConsolidation,516.83,6.8,NA,8,0,10375,16844,0,0
Charged Off,18439,Long Term,709,10,Rent,49069,DebtConsolidation,1071.34,31,NA,11,0,29313,39559,0,0
Charged Off,14882,Short Term,743,1,Rent,198420,HomeImprovements,3323.54,22.9,9,9,0,14441,22813,0,0
Charged Off,9661,Short Term,722,9,Rent,33432,DebtConsolidation,484.77,20.4,NA,8,1,9457,27021,1,0
Charged Off,2524,Short Term,656,10,Rent,48456,MedicalBills,674.35,19.2,NA,9,0,27904,32828,0,0
Charged Off,6828,Short Term,725,2,Rent,58524,DebtConsolidation,1292.41,10.4,41,12,0,10539,17449,0,0
Charged Off,12298,Short Term,732,7,Mortgage,60699,DebtConsolidation,1552.88,16.3,NA,12,0,26073,35138,0,0
Charged Off,17609,Short Term,701,10,Mortgage,78264,Other,723.94,10,NA,6,0,5604,12621,0,0
Charged Off,7808,Short Term,709,10,Rent,58560,DebtConsolidation,1351.76,13.1,NA,9,0,12713,12881,0,0
Charged Off,3584,Short Term,732,10,Mortgage,95568,Vacation,1489.27,24.2,19,18,0,33310,48206,0,0
Charged Off,12155,Short Term,742,10,Mortgage,55710,DebtConsolidation,252.09,14.5,67,10,0,10826,20160,0,0
Charged Off,14720,Long Term,676,5,Mortgage,45925,DebtConsolidation,1274.41,8.1,9,9,0,5079,5199,0,0
Charged Off,34430,Long Term,739,1,Mortgage,1623105,DebtConsolidation,2637.55,14.7,17,15,0,26265,69668,0,0
Charged Off,16217,Long Term,673,10,Mortgage,40639,DebtConsolidation,565.56,13,NA,9,0,2092,9774,0,0
Charged Off,12538,Short Term,737,10,Own Home,37814,HomeImprovements,747.77,18,60,10,1,4652,13216,0,0
Charged Off,8915,Short Term,717,10,Rent,35158,DebtConsolidation,987.34,23,24,11,1,9642,17188,1,0
Charged Off,30264,Long Term,699,10,Mortgage,76669,DebtConsolidation,677.24,27.5,75,11,1,3892,27216,1,0
Charged Off,9941,Long Term,717,1,Rent,30368,DebtConsolidation,478.29,16,64,11,0,13238,21351,0,0
Charged Off,12441,Short Term,664,3,Rent,45702,MedicalBills,201.09,6,NA,9,0,3928,9135,0,0
Charged Off,19129,Long Term,688,1,Rent,56937,DebtConsolidation,697.48,10.1,NA,15,0,11161,54442,0,0
Charged Off,4997,Short Term,740,10,Mortgage,69958,BusinessLoan,1113.5,18.7,58,15,0,24623,35583,0,0
Charged Off,10154,Short Term,735,0.5,Mortgage,45876,DebtConsolidation,1146.89,22.5,NA,12,0,6920,31742,0,0
Charged Off,19708,Short Term,721,10,Mortgage,98540,DebtConsolidation,2282.85,25.5,6,13,0,25943,26800,0,0
Charged Off,13206,Long Term,614,6,Rent,50960,CarPurchase,237.39,12.5,NA,5,0,5539,6471,0,0
Charged Off,4963,Short Term,724,7,Mortgage,47645,HomeImprovements,464.54,15.4,1,9,0,3295,6253,0,0
Charged Off,7838,Short Term,733,4,Rent,62973,DebtConsolidation,892.12,21.5,NA,10,0,6912,11277,0,0
Charged Off,7587,Short Term,744,8,Rent,30348,DebtConsolidation,572.57,33.1,28,11,0,5809,12738,0,0
Charged Off,15036,Short Term,747,6,Rent,87710,DebtConsolidation,1264.49,30.8,NA,14,1,11549,33474,1,0
Charged Off,4692,Short Term,734,4,Rent,36285,Other,347.73,12.4,NA,3,0,184,293,0,0
Charged Off,6163,Short Term,738,1,Rent,29820,DebtConsolidation,591.43,11.8,NA,6,0,11904,14807,0,0
Charged Off,11801,Short Term,742,3,Mortgage,131118,DebtConsolidation,134.4,16.9,NA,7,0,690,3432,0,0
Charged Off,16251,Short Term,710,10,Rent,51185,DebtConsolidation,550.24,9.7,NA,10,0,10117,23099,0,0
Charged Off,15122,Long Term,710,10,Mortgage,54437,Moving,739.44,12.9,17,9,0,1371,3428,0,0
Charged Off,34965,Long Term,628,0.5,Mortgage,72927,BusinessLoan,1059.87,20.7,21,8,0,19485,19985,0,0
Charged Off,8116,Short Term,719,10,Rent,82153,BusinessLoan,787.31,15,7,6,0,2958,10995,0,0
Charged Off,5040,Short Term,737,10,Mortgage,30237,Other,642.54,20.4,8,7,0,6922,8371,0,0
Charged Off,20182,Short Term,666,6,Own Home,68619,DebtConsolidation,476.33,13.5,NA,5,0,8468,8775,0,0
Charged Off,24466,Long Term,691,1,Mortgage,76455,DebtConsolidation,1535.47,11,NA,10,0,22113,24273,0,0
Charged Off,4862,Short Term,689,3,Mortgage,47146,BusinessLoan,561.82,5.4,NA,5,0,68,295,0,0
Charged Off,15947,Short Term,732,5,Rent,60462,DebtConsolidation,443.39,9.4,NA,7,0,15687,20163,0,0
Charged Off,34591,Long Term,672,3,Mortgage,79064,DebtConsolidation,1080.54,40.8,37,7,0,50078,59264,0,0
Charged Off,10216,Short Term,735,6,Mortgage,66404,Other,1460.89,18.5,NA,6,0,19055,21852,0,0
Charged Off,35714,Long Term,728,4,Rent,110203,DebtConsolidation,1864.27,18,39,17,0,38161,80002,0,0
Charged Off,31812,Short Term,741,10,Mortgage,134317,DebtConsolidation,2025.94,21.8,NA,13,0,42948,85214,0,0
Charged Off,8457,Short Term,728,0.5,Mortgage,23231,DebtConsolidation,208.88,17.8,NA,4,1,8392,14985,1,0
Charged Off,5574,Short Term,724,3,Rent,53209,CarPurchase,1188.33,11,NA,12,0,9808,21002,0,0
Charged Off,1215,Short Term,717,8,Mortgage,42521,HomeImprovements,719.31,29.4,42,13,0,17301,23475,0,0
Charged Off,16284,Short Term,743,2,Mortgage,36503,DebtConsolidation,1000.78,45.5,35,11,0,31267,39679,0,0
Charged Off,10032,Short Term,730,2,Rent,35473,DebtConsolidation,987.34,20.4,25,24,1,21101,41294,1,0
Charged Off,15266,Long Term,709,1,Rent,40708,DebtConsolidation,827.73,19.2,13,22,0,15516,27078,0,0
Charged Off,28350,Short Term,741,5,Rent,121500,DebtConsolidation,918.34,22.7,NA,6,1,13913,22084,0,1
Charged Off,7817,Short Term,709,1,Rent,21769,DebtConsolidation,475.29,6.9,NA,7,0,5578,7123,0,0
Charged Off,1968,Short Term,685,1,Rent,23616,MedicalBills,50.18,16.7,NA,8,0,0,0,0,0
Charged Off,4456,Short Term,734,5,Mortgage,32589,DebtConsolidation,285.15,12.5,NA,8,0,8501,13241,0,0
Charged Off,11664,Short Term,699,1,Rent,36515,DebtConsolidation,1104.57,8.4,NA,8,0,15469,17343,0,0
Charged Off,11746,Short Term,734,6,Mortgage,35749,DebtConsolidation,521.34,10.6,15,15,0,15266,22483,0,0
Charged Off,1480,Short Term,735,4,Rent,34528,DebtConsolidation,417.21,6.5,NA,13,0,2792,6997,0,0
Charged Off,29640,Short Term,742,5,Mortgage,108680,DebtConsolidation,1947.18,22.2,7,21,0,39068,108826,0,0
Charged Off,10096,Short Term,745,1,Rent,131248,DebtConsolidation,2745.27,17,NA,13,1,27011,31299,0,1
Charged Off,11374,Long Term,718,6,Own Home,26642,DebtConsolidation,454.92,19.9,NA,14,0,15067,19466,0,0
Charged Off,16461,Short Term,731,2,Rent,120264,DebtConsolidation,1643.61,15.7,41,17,0,16928,52736,0,0
Charged Off,6038,Short Term,721,10,Mortgage,125788,DebtConsolidation,1404.62,17.1,NA,18,0,39164,42385,0,0
