Current Loan Amount,Credit Score,Years in current job,Annual Income,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status,
35018,716,10,100050,1525.76,12,36.8750357,12,0,49924,69052,0,0,Charged Off,
6876,736,1,17878,263.7,25.3,6,7,1,7192,10319,1,0,Charged Off,
17865,662,10,75915,613.65,23.6,36.23352808,15,1,7161,17214,1,0,Charged Off,
5888,735,1,58878,1010.74,14.9,12,14,6,5347,15499,1,5,Charged Off,
24585,748,6,132759,571.97,13.4,33.70183196,7,0,6007,47296,0,0,Charged Off,
31561,683,3,87683,1826.73,10.3,34.44249236,9,0,10732,15354,0,0,Charged Off,
25360,737,10,83759,1214.51,20.3,35.9940941,14,0,25752,48405,0,0,Charged Off,
23604,708,3,80647,1102.18,12,1,14,0,1647,20853,0,0,Charged Off,
10167,738,3,42701,761.51,25.8,36.6862078,7,0,11283,15759,0,0,Charged Off,
28594,632,8,65215,733.66,13.3,31,6,0,6611,12042,0,0,Charged Off,
5501,749,0.5,45009,186.04,14.2,35,6,0,6959,11599,0,0,Charged Off,
2469,714,3,38516,735.66,9.6,36.43747466,9,0,3646,4148,0,0,Charged Off,
4407,734,3,36058,157.15,13.1,28,6,0,2517,6308,0,0,Charged Off,
11687,671,0.5,46149,1038.36,6.8,34.45375538,7,0,3193,4147,0,0,Charged Off,
16495,718,10,44118,1352.95,12.6,46.10202167,7,1,17605,21654,1,0,Charged Off,
10022,704,10,70154,684,16.4,43,7,0,5168,11114,0,0,Charged Off,
5103,742,0.5,27556,464.32,20.4,5,6,0,1023,3678,0,0,Charged Off,
11887,723,5,59436,1079.75,11.9,36.05973681,15,0,13781,15061,0,0,Charged Off,
14696,743,7,49965,828.58,6.2,39.81667084,5,0,7634,10084,0,0,Charged Off,
20616,750,1,83445,559.78,13,36.02870796,11,0,4418,51368,0,0,Charged Off,
5867,688,4,89625,62.74,20.2,30.07397837,2,0,0,0,0,0,Charged Off,
17833,699,7,57542,891.9,12.5,35.3697691,10,0,17310,27304,0,0,Charged Off,
11666,659,10,179395,1793.95,11.6,27,6,0,287,3935,0,0,Charged Off,
30380,611,7,139160,1994.62,13.9,25.16511833,20,0,28516,29891,0,0,Charged Off,
17890,630,9,94421,1106.29,18,27,11,0,15382,15712,0,0,Charged Off,
19399,704,0.5,43851,1052.42,18,22,13,0,3400,5591,0,0,Charged Off,
14873,672,3,44594,776.68,14.3,35,10,0,12496,21886,0,0,Charged Off,
14702,738,1,84289,1130.87,22.2,30,8,0,14380,21559,0,0,Charged Off,
21506,716,4,61446,1126.51,14.9,27,20,0,21076,51405,0,0,Charged Off,
20122,652,10,55336,590.25,14.5,32.50544999,5,0,18393,22027,0,0,Charged Off,
16986,645,10,66539,1852.01,14.7,24,16,0,12834,22959,0,0,Charged Off,
18557,740,10,91829,133.92,18.3,33.78834379,11,0,7238,29305,0,0,Charged Off,
11714,746,10,59548,1032.17,17.9,37.60394302,12,0,22026,38779,0,0,Charged Off,
9860,610,1,41905,890.49,13.9,59,15,0,6750,14706,0,0,Charged Off,
34986,706,10,83966,1378.45,16.8,34.88829162,11,0,11266,24599,0,0,Charged Off,
10156,726,2,68045,191.1,15,35.00104452,5,0,6070,6806,0,0,Charged Off,
16599,678,9,51903,973.18,15.6,78,18,1,17345,28204,1,0,Charged Off,
12109,702,4,50455,908.19,22.6,33.89268115,10,0,7544,8272,0,0,Charged Off,
28672,709,1,81920,2041.17,18.3,16,9,0,33437,40140,0,0,Charged Off,
20958,732,10,46934,813.52,18.8,37.76997642,11,0,23533,24136,0,0,Charged Off,
4000,684,8,40996,515.87,11.6,34.41430536,5,0,4593,7098,0,0,Charged Off,
29858,660,2,68007,1547.16,18.6,7,11,0,29667,36535,0,0,Charged Off,
8239,622,7,31426,387.59,13.8,8,10,0,593,2148,0,0,Charged Off,
4963,747,5,40498,241.3,17,80,8,0,2396,14263,0,0,Charged Off,
34195,680,10,81580,1706.37,20.8,33.74369751,13,0,34301,52691,0,0,Charged Off,
27480,717,3,62226,1441.56,23,35.80950598,19,0,41773,71529,0,0,Charged Off,
27726,692,10,71294,1823.95,22,25,17,0,13095,35393,0,0,Charged Off,
7069,700,4,48842,561.68,9,15,8,0,4752,9000,0,0,Charged Off,
11766,738,10,63733,881.64,19.4,27,7,0,9506,12950,0,0,Charged Off,
7097,705,10,68999,620.99,16.3,33.67508448,7,0,7397,7586,0,0,Charged Off,
6442,739,0.5,55517,127.69,32.5,28,6,0,5895,11697,0,0,Charged Off,
15035,677,10,39090,801.34,22.7,76,14,0,59602,74877,0,0,Charged Off,
22385,681,10,56092,1219.99,12.3,35.38390638,10,0,26574,36653,0,0,Charged Off,
25610,712,10,112684,1709.04,16.7,13,12,0,21990,25839,0,0,Charged Off,
15303,675,8,56111,855.69,25.7,1,12,0,4528,7546,0,0,Charged Off,
12127,736,10,71753,980.62,19,38.6023237,5,2,14426,15766,0,2,Charged Off,
20307,688,3,67857,1170.54,16.1,33.52513625,14,0,21942,27951,0,0,Charged Off,
3289,691,1,74198,312.87,18.7,38,3,0,5293,6624,0,0,Charged Off,
14646,708,1,73742,1929.59,24.5,33.33658213,14,0,4689,6865,0,0,Charged Off,
16577,693,3,98670,2088.52,20.2,1,12,0,17130,31490,0,0,Charged Off,
6121,742,10,76508,937.22,16.8,35.79741391,8,0,4287,10208,0,0,Charged Off,
10663,734,10,31741,872.87,25.6,9,17,0,18816,30155,0,0,Charged Off,
10224,716,7,73613,944.7,32.1,13,10,0,21448,32695,0,0,Charged Off,
15083,736,1,60330,1231.74,9.1,18,11,0,13263,31206,0,0,Charged Off,
17304,657,5,46823,1069.13,13,32.90304341,12,0,16000,16394,0,0,Charged Off,
12724,731,4,32573,860.46,10.6,38.68686063,10,0,8344,9261,0,0,Charged Off,
10222,687,10,49577,1371.62,12.4,40.95631993,23,1,14489,24725,1,0,Charged Off,
9095,716,5,30234,481.22,14,2,17,1,7929,9778,0,1,Charged Off,
34622,700,4,118704,1928.94,12.2,11,19,0,8169,23609,0,0,Charged Off,
2477,722,1,61436,988.1,20.4,70,31,0,7115,20682,0.02453386,0,Charged Off,
5906,744,6,147660,1624.26,19.4,37,9,0,38965,45203,0,0,Charged Off,
15293,699,3,53014,804.05,13.6,29,11,0,14913,18054,0,0,Charged Off,
15147,737,6,171666,1473.47,14.5,34.50852781,6,3,13764,19089,0,3,Charged Off,
25583,674,3,122796,2670.81,16.4,41,23,0,37383,52876,0,0,Charged Off,
7647,731,0.5,24470,362.98,31.8,6,7,0,11891,13778,0,0,Charged Off,
27316,648,2,71949,1121.2,19,37,20,0,27384,28887,0,0,Charged Off,
9766,705,7,48834,754.08,16.9,44,6,0,6204,9649,0,0,Charged Off,
4812,738,10,70175,771.93,21.1,5,11,0,28168,38272,0,0,Charged Off,
5938,746,0.5,29688,286.98,10.7,39.42779913,5,0,10466,19098,0,0,Charged Off,
3578,714,10,98131,1668.23,18.1,19,7,0,13838,18304,0,0,Charged Off,
20928,716,1,83513,737.7,29.8,76,7,0,21334,24663,0,0,Charged Off,
13623,739,9,33611,761.84,15.5,38.85066523,9,0,12410,16117,0,0,Charged Off,
8232,746,8,50960,488.36,13.7,30,7,0,4735,19172,0,0,Charged Off,
18675,707,10,58974,894.44,13.4,34.97955103,16,0,16635,29704,0,0,Charged Off,
6408,629,0.5,31237,246.26,19.8,29.64326784,7,0,10842,20341,0,0,Charged Off,
7966,714,1,114506,1278.65,18.7,31.06452841,11,0,2872,2966,0,0,Charged Off,
28908,666,10,71525,1205.79,18.2,31.89645601,16,0,21698,24435,0,0,Charged Off,
9968,738,2,30054,470.85,6.5,39.57185453,6,0,4940,8821,0,0,Charged Off,
14924,698,10,85810,1237.1,31.4,42,20,0,14413,32100,0,0,Charged Off,
20094,742,10,45212,847.72,23.7,37.6255574,13,0,24463,43841,0,0,Charged Off,
9152,749,10,86601,1248.5,13.9,36.38086246,11,0,8584,20151,0,0,Charged Off,
8882,626,1,19904,24.88,11,5,4,0,148,12357,0,0,Charged Off,
13212,735,10,49187,1082.1,19.7,30,11,0,4019,5061,0,0,Charged Off,
13505,720,5,42699,1188.45,14.3,2,11,1,4956,29856,1,0,Charged Off,
15753,736,10,35044,814.78,22.3,38.27500394,11,0,30401,49594,0,0,Charged Off,
35844,639,2,79470,1417.22,19.9,1,10,0,1729,5436,0,0,Charged Off,
10250,731,4,56375,415.3,35.4,40.42056412,10,1,4876,16585,1,0,Charged Off,
2024,721,1,30357,465.47,8.6,37.41852109,7,0,3761,6777,0,0,Charged Off,
21185,639,1,59052,624.97,15.2,79,12,0,5864,20361,0,0,Charged Off,
15173,708,10,51587,662.03,16.7,7,10,0,21192,45090,0,0,Charged Off,
15028,745,10,118644,1384.18,15.3,16,8,1,9099,0,0,0,Charged Off,
10201,733,7,36724,175.36,12.5,65,5,0,6100,6322,0,0,Charged Off,
4201,699,4,65013,250.3,12.3,40,6,0,790,4203,0,0,Charged Off,
19962,692,1,69612,1067.38,19,34.0566609,12,1,15223,30942,0,1,Charged Off,
34612,671,6,82575,1699.67,23.2,33.6421918,11,0,51084,57721,0,0,Charged Off,
6363,708,1,24855,559.24,9.9,16,11,0,5186,14325,0,0,Charged Off,
19736,666,1,88812,1169.36,15,30.17246786,13,0,5506,17936,0,0,Charged Off,
2375,716,1,32650,375.48,20.4,42.26159075,13,1,12346,20041,1,0,Charged Off,
14675,750,10,104874,1354.62,21.9,34.09987994,18,0,21588,91475,0,0,Charged Off,
10446,723,10,42678,650.83,20,22,9,1,6850,10720,1,0,Charged Off,
12216,729,10,91620,1710.24,13.5,80,15,1,16003,40824,0,1,Charged Off,
20767,698,10,96912,1017.58,22.7,12,10,3,9107,18287,0,2,Charged Off,
11247,725,10,32134,326.7,11.1,52,9,0,5690,10537,0,0,Charged Off,
32122,683,10,160106,2975.3,11.4,31.66020309,9,0,16091,20870,0,0,Charged Off,
28354,664,7,70214,1661.74,19.6,34.05891856,14,0,61076,65044,0,0,Charged Off,
19894,677,10,80584,778.98,12.4,31.41338886,14,0,5954,14210,0,0,Charged Off,
15763,741,5,99998,1266.64,15.8,17,14,0,34992,55367,0,0,Charged Off,
9118,743,5,49960,1157.4,30,10,15,0,22020,35981,0,0,Charged Off,
12145,750,10,53641,1016.95,16.6,37.59995943,15,0,11884,30948,0,0,Charged Off,
11731,725,8,69410,642.04,14.7,43.25949565,6,1,9753,10266,1,0,Charged Off,
9603,705,3,55891,1001.38,27.2,40.80232555,8,1,5532,6601,1,0,Charged Off,
5608,714,1,24517,531.2,5.9,38.5544235,5,0,11490,13827,0,0,Charged Off,
13590,614,1,62415,1170.29,13.5,29.26317088,8,0,16865,17315,0,0,Charged Off,
12043,726,10,65234,1043.74,22.5,42.70471797,9,1,9748,16246,1,0,Charged Off,
11851,743,5,54318,742.35,12.9,38.00412226,9,0,13679,17185,0,0,Charged Off,
8190,729,9,33782,501.1,11.4,37.74459151,11,0,11690,15565,0,0,Charged Off,
14893,683,10,54109,1244.52,14.5,35.27590501,10,0,34140,43435,0,0,Charged Off,
9790,708,2,34265,516.83,6.8,37.16950987,8,0,10375,16844,0,0,Charged Off,
18439,709,10,49069,1071.34,31,34.78643714,11,0,29313,39559,0,0,Charged Off,
14882,743,1,198420,3323.54,22.9,9,9,0,14441,22813,0,0,Charged Off,
9661,722,9,33432,484.77,20.4,43.92250497,8,1,9457,27021,1,0,Charged Off,
2524,656,10,48456,674.35,19.2,31.54382587,9,0,27904,32828,0,0,Charged Off,
6828,725,2,58524,1292.41,10.4,41,12,0,10539,17449,0,0,Charged Off,
12298,732,7,60699,1552.88,16.3,37.61222618,12,0,26073,35138,0,0,Charged Off,
17609,701,10,78264,723.94,10,34.44443057,6,0,5604,12621,0,0,Charged Off,
7808,709,10,58560,1351.76,13.1,36.01007619,9,0,12713,12881,0,0,Charged Off,
3584,732,10,95568,1489.27,24.2,19,18,0,33310,48206,0,0,Charged Off,
12155,742,10,55710,252.09,14.5,67,10,0,10826,20160,0,0,Charged Off,
14720,676,5,45925,1274.41,8.1,9,9,0,5079,5199,0,0,Charged Off,
34430,739,1,1623105,2637.55,14.7,17,15,0,26265,69668,0,0,Charged Off,
16217,673,10,40639,565.56,13,33.61670123,9,0,2092,9774,0,0,Charged Off,
12538,737,10,37814,747.77,18,60,10,1,4652,13216,0,0,Charged Off,
8915,717,10,35158,987.34,23,24,11,1,9642,17188,1,0,Charged Off,
30264,699,10,76669,677.24,27.5,75,11,1,3892,27216,1,0,Charged Off,
9941,717,1,30368,478.29,16,64,11,0,13238,21351,0,0,Charged Off,
12441,664,3,45702,201.09,6,32.83844029,9,0,3928,9135,0,0,Charged Off,
19129,688,1,56937,697.48,10.1,33.61910479,15,0,11161,54442,0,0,Charged Off,
4997,740,10,69958,1113.5,18.7,58,15,0,24623,35583,0,0,Charged Off,
10154,735,0.5,45876,1146.89,22.5,36.26357933,12,0,6920,31742,0,0,Charged Off,
19708,721,10,98540,2282.85,25.5,6,13,0,25943,26800,0,0,Charged Off,
13206,614,6,50960,237.39,12.5,28.92266888,5,0,5539,6471,0,0,Charged Off,
4963,724,7,47645,464.54,15.4,1,9,0,3295,6253,0,0,Charged Off,
7838,733,4,62973,892.12,21.5,35.11522039,10,0,6912,11277,0,0,Charged Off,
7587,744,8,30348,572.57,33.1,28,11,0,5809,12738,0,0,Charged Off,
15036,747,6,87710,1264.49,30.8,41.33275746,14,1,11549,33474,1,0,Charged Off,
4692,734,4,36285,347.73,12.4,37.90425813,3,0,184,293,0,0,Charged Off,
6163,738,1,29820,591.43,11.8,39.07742259,6,0,11904,14807,0,0,Charged Off,
11801,742,3,131118,134.4,16.9,31.4041902,7,0,690,3432,0,0,Charged Off,
16251,710,10,51185,550.24,9.7,36.14425551,10,0,10117,23099,0,0,Charged Off,
15122,710,10,54437,739.44,12.9,17,9,0,1371,3428,0,0,Charged Off,
34965,628,0.5,72927,1059.87,20.7,21,8,0,19485,19985,0,0,Charged Off,
8116,719,10,82153,787.31,15,7,6,0,2958,10995,0,0,Charged Off,
5040,737,10,30237,642.54,20.4,8,7,0,6922,8371,0,0,Charged Off,
20182,666,6,68619,476.33,13.5,32.12749681,5,0,8468,8775,0,0,Charged Off,
24466,691,1,76455,1535.47,11,35.12142992,10,0,22113,24273,0,0,Charged Off,
4862,689,3,47146,561.82,5.4,35.0250816,5,0,68,295,0,0,Charged Off,
15947,732,5,60462,443.39,9.4,37.51385058,7,0,15687,20163,0,0,Charged Off,
34591,672,3,79064,1080.54,40.8,37,7,0,50078,59264,0,0,Charged Off,
10216,735,6,66404,1460.89,18.5,37.44231996,6,0,19055,21852,0,0,Charged Off,
35714,728,4,110203,1864.27,18,39,17,0,38161,80002,0,0,Charged Off,
31812,741,10,134317,2025.94,21.8,35.11707509,13,0,42948,85214,0,0,Charged Off,
8457,728,0.5,23231,208.88,17.8,45.23005098,4,1,8392,14985,1,0,Charged Off,
5574,724,3,53209,1188.33,11,36.6105232,12,0,9808,21002,0,0,Charged Off,
1215,717,8,42521,719.31,29.4,42,13,0,17301,23475,0,0,Charged Off,
16284,743,2,36503,1000.78,45.5,35,11,0,31267,39679,0,0,Charged Off,
10032,730,2,35473,987.34,20.4,25,24,1,21101,41294,1,0,Charged Off,
15266,709,1,40708,827.73,19.2,13,22,0,15516,27078,0,0,Charged Off,
28350,741,5,121500,918.34,22.7,34.84054071,6,1,13913,22084,0,1,Charged Off,
7817,709,1,21769,475.29,6.9,37.7752885,7,0,5578,7123,0,0,Charged Off,
1968,685,1,23616,50.18,16.7,33.38850438,8,0,0,0,0,0,Charged Off,
4456,734,5,32589,285.15,12.5,37.70123964,8,0,8501,13241,0,0,Charged Off,
11664,699,1,36515,1104.57,8.4,37.26693918,8,0,15469,17343,0,0,Charged Off,
11746,734,6,35749,521.34,10.6,15,15,0,15266,22483,0,0,Charged Off,
1480,735,4,34528,417.21,6.5,37.52897648,13,0,2792,6997,0,0,Charged Off,
29640,742,5,108680,1947.18,22.2,7,21,0,39068,108826,0,0,Charged Off,
10096,745,1,131248,2745.27,17,36.17965277,13,1,27011,31299,0,1,Charged Off,
11374,718,6,26642,454.92,19.9,36.04299537,14,0,15067,19466,0,0,Charged Off,
16461,731,2,120264,1643.61,15.7,41,17,0,16928,52736,0,0,Charged Off,
6038,721,10,125788,1404.62,17.1,31.87402746,18,0,39164,42385,0,0,Charged Off,
22989,659,1,53449,1073.44,10.3,32.57353174,15,0,10631,16255,0,0,Charged Off,
23496,744,9,117480,906.55,10,9,22,0,16223,32511,0,0,Charged Off,
21953,714,1,52244,561.63,14,50,15,0,5106,15662,0,0,Charged Off,
16575,731,7,75660,1349.27,16.6,59,12,0,5735,14705,0,0,Charged Off,
5003,690,1,55023,15.13,16,47,2,0,391,400,0,0,Charged Off,
19766,712,3,98830,1935.42,15.6,26,15,0,5570,27304,0,0,Charged Off,
17923,686,10,74370,811.87,12.4,65,9,0,3138,6511,0,0,Charged Off,
34248,746,1,146775,3461.44,19.9,37.12107803,24,0,88168,136482,0,0,Charged Off,
4494,720,6,51932,683.78,4.4,37.34237597,7,0,9479,13276,0,0,Charged Off,
7857,747,2,111272,1182.26,13.7,33.22871629,20,0,11055,19159,0,0,Charged Off,
4117,740,1,41658,405.81,20.6,59,6,0,9147,13859,0,0,Charged Off,
9118,701,1,60786,780.09,18.6,32,13,0,16499,18435,0,0,Charged Off,
7947,696,7,62584,1757.57,12.8,9,21,0,5827,20375,0,0,Charged Off,
14903,703,2,48201,1100.59,20.2,61,9,0,13533,13767,0,0,Charged Off,
8168,745,1,71470,1101.83,27,9,21,0,13474,65093,0,0,Charged Off,
6050,751,1,53238,254.21,25.9,45,6,0,9785,50436,0,0,Charged Off,
17868,723,3,40552,993.52,18.6,37.21015958,11,0,17624,24342,0,0,Charged Off,
17647,743,8,58824,456.87,48,32.69449707,11,0,16334,59615,0,0,Charged Off,
11802,737,10,53699,626.49,16.5,37.30136203,7,0,11809,12496,0,0,Charged Off,
15898,684,10,59994,959.9,26.5,51,8,0,22911,26890,0,0,Charged Off,
7097,743,10,99454,1466.12,27.2,35.47728378,9,0,49250,58701,0,0,Charged Off,
11776,735,1,107943,2806.52,14,36.38013311,10,0,14629,48281,0,0,Charged Off,
25223,712,4,129139,1786.43,29.3,32.12508458,10,0,47078,99321,0,0,Charged Off,
7746,687,3,50630,751.02,9.9,33.12802641,16,0,4239,5366,0,0,Charged Off,
19025,726,10,42390,812.46,15.6,37.70258459,10,0,13993,16252,0,0,Charged Off,
12492,718,1,68313,415.57,16,41.45879365,12,1,12844,48836,1,0,Charged Off,
14749,694,10,66064,1348.81,21,33.63429963,16,0,32078,35962,0,0,Charged Off,
12228,720,5,40760,1120.9,7.3,37.92238341,13,0,12240,22965,0,0,Charged Off,
22425,656,3,56062,490.54,17,30.71480779,15,0,15415,25437,0,0,Charged Off,
3014,710,2,26622,211.87,8.8,36.28322443,9,0,2758,7535,0,0,Charged Off,
24380,708,10,75205,833.52,19,8,11,0,28532,30614,0,0,Charged Off,
4334,688,1,58458,1622.22,13,33.58992601,13,0,3697,3628,0,0,Charged Off,
34294,725,3,71498,834.15,16,37.12231403,11,0,36839,101205,0,0,Charged Off,
7064,703,2,55506,786.34,14,69,11,0,10652,13924,0,0,Charged Off,
7846,726,1,63746,486.59,12.8,7,11,0,2699,4121,0,0,Charged Off,
13888,715,10,39085,957.58,11.2,36.17007207,18,0,5749,24994,0,0,Charged Off,
11860,683,7,51392,762.31,23.8,80,13,0,9176,9690,0,0,Charged Off,
8058,738,5,55396,724.76,7.2,37.81472772,10,0,9944,22447,0,0,Charged Off,
9289,723,5,28118,447.54,14.3,37.70702874,6,0,7861,12845,0,0,Charged Off,
23683,737,10,106574,1740.72,19.7,28,13,0,20987,70664,0,0,Charged Off,
7834,735,9,47512,1183.84,17.4,37.75595081,11,0,21878,39208,0,0,Charged Off,
19982,738,5,56949,977.62,21.8,15,11,0,11088,17572,0,0,Charged Off,
23253,737,10,67886,594,18.4,38,13,0,9246,22828,0,0,Charged Off,
25040,698,7,66106,705.13,12.2,36.02973713,8,0,36279,41273,0,0,Charged Off,
9340,694,2,30291,580.58,9.2,35.87711247,9,0,6213,8385,0,0,Charged Off,
10096,736,6,47451,1119.06,18,57,19,0,6785,12426,0,0,Charged Off,
11234,736,1,34724,593.2,20.9,37.62366002,7,0,14023,17530,0,0,Charged Off,
8172,725,1,23558,365.16,8.2,37.95656703,12,0,10038,18762,0,0,Charged Off,
7092,693,6,39567,481.41,17.7,42,9,0,10050,13206,0,0,Charged Off,
11936,743,7,89523,1014.59,18,35.24166467,9,0,7771,15030,0,0,Charged Off,
4886,730,1,25407,616.12,19.4,43.67059658,15,1,4297,18363,1,0,Charged Off,
18026,670,7,57368,1178.91,24.1,32.43064719,11,0,26974,38369,0,0,Charged Off,
35774,737,3,153315,963.33,26,32,8,0,24016,40364,0,0,Charged Off,
27042,686,6,64548,1043.53,17.9,81,11,1,13403,22487,0,0,Charged Off,
21300,653,2,47560,1339.61,30.1,19,15,0,9959,14207,0,0,Charged Off,
9812,697,3,39248,562.55,10.3,35.54829014,9,0,9982,14039,0,0,Charged Off,
6290,735,1,25568,423.99,17.1,37.67311552,8,0,6202,15427,0,0,Charged Off,
8959,744,10,45788,820.38,18.8,74,17,0,11998,30374,0,0,Charged Off,
15155,702,10,52801,1152.81,15.8,34.73646425,18,0,20513,29430,0,0,Charged Off,
20494,627,1,51235,969.19,17.7,30.98919982,3,0,13948,14651,0,0,Charged Off,
20136,684,1,68865,849.91,12.8,33.75729069,7,0,13211,13995,0,0,Charged Off,
5067,656,10,14978,386.92,15,33.50711006,6,0,6303,12681,0,0,Charged Off,
9939,719,2,56851,139.29,17.9,37.47361049,6,1,3252,11825,0,0,Charged Off,
19298,734,0.5,42992,644.89,32.4,35.89686683,7,0,14012,19931,0,0,Charged Off,
18620,712,3,44510,682.48,15.9,36.01882558,16,0,29950,35319,0,0,Charged Off,
21521,709,10,102480,1699.46,26.7,44,21,0,65492,86401,0,0,Charged Off,
11271,724,10,117829,2111.11,27.8,32.8496956,14,0,39178,68975,0,0,Charged Off,
12845,737,10,45158,1189.15,19.3,71,14,0,25939,31595,0,0,Charged Off,
15198,748,6,50660,616.36,26.1,40,6,0,15120,23514,0,0,Charged Off,
18816,663,3,55341,899.29,14.8,50,4,0,13740,14493,0,0,Charged Off,
8133,728,1,46764,231.87,10.5,40,6,0,6170,7524,0,0,Charged Off,
15152,689,6,41731,664.57,14.9,34,6,0,9119,9838,0,0,Charged Off,
5396,744,8,18070,287.62,19,37,9,0,10541,19061,0,0,Charged Off,
34500,700,5,197140,2414.97,15.4,7,8,0,13574,38237,0,0,Charged Off,
13352,721,10,70805,755.26,19,34.8307035,10,0,17281,20524,0,0,Charged Off,
3537,739,10,17180,282.04,16,38.53127916,7,0,3380,10800,0,0,Charged Off,
11909,738,2,38513,548.81,10.7,38.74218677,6,0,6789,15501,0,0,Charged Off,
18169,704,10,85799,943.79,12.5,3,8,0,12596,13026,0,0,Charged Off,
15015,712,0.5,49950,1294.53,24.3,36,18,0,18300,28911,0,0,Charged Off,
9982,741,0.5,34937,215.44,32,44,6,0,9412,15379,0,0,Charged Off,
18188,652,2,82673,606.96,8.9,52,14,1,4040,13033,0,0,Charged Off,
18124,702,10,50345,767.76,21,52,12,0,15966,22552,0,0,Charged Off,
24533,738,5,98130,613.31,20.1,30,8,0,2794,5982,0,0,Charged Off,
9661,720,10,52333,407.76,23.2,29,4,0,16571,21328,0,0,Charged Off,
30348,697,2,96102,2034.16,17.5,77,18,0,30937,47376,0,0,Charged Off,
15067,733,1,48412,847.21,21.9,18,15,0,13566,17687,0,0,Charged Off,
